"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","129,724","129,724"
"        In labor force","83,156","64.1%"
"            Civilian labor force","83,102","64.1%"
"                Employed","78,574","60.6%"
"                Unemployed","4,528","3.5%"
"            Armed Forces","54","0.0%"
"        Not in labor force","46,568","35.9%"
"    Civilian labor force","83,102","83,102"
"        Unemployment Rate","(X)","5.4%"
"    Females 16 years and over","69,911","69,911"
"        In labor force","40,960","58.6%"
"            Civilian labor force","40,954","58.6%"
"                Employed","38,960","55.7%"
"    Own children of the householder under 6 years","13,780","13,780"
"        All parents in family in labor force","9,806","71.2%"
"    Own children of the householder 6 to 17 years","29,387","29,387"
"        All parents in family in labor force","21,259","72.3%"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","75,960","75,960"
"        Car, truck, or van -- drove alone","61,476","80.9%"
"        Car, truck, or van -- carpooled","7,312","9.6%"
"        Public transportation (excluding taxicab)","798","1.1%"
"        Walked","353","0.5%"
"        Other means","1,645","2.2%"
"        Worked at home","4,376","5.8%"
"    Mean travel time to work (minutes)","27.5","(X)"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","78,574","78,574"
"        Management, business, science, and arts occupations","27,803","35.4%"
"        Service occupations","12,354","15.7%"
"        Sales and office occupations","24,682","31.4%"
"        Natural resources, construction, and maintenance occupations","6,122","7.8%"
"        Production, transportation, and material moving occupations","7,613","9.7%"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","78,574","78,574"
"        Agriculture, forestry, fishing and hunting, and mining","210","0.3%"
"        Construction","5,163","6.6%"
"        Manufacturing","5,162","6.6%"
"        Wholesale trade","1,971","2.5%"
"        Retail trade","13,159","16.7%"
"        Transportation and warehousing, and utilities","3,994","5.1%"
"        Information","1,248","1.6%"
"        Finance and insurance, and real estate and rental and leasing","8,037","10.2%"
"        Professional, scientific, and management, and administrative and waste management services","7,563","9.6%"
"        Educational services, and health care and social assistance","18,146","23.1%"
"        Arts, entertainment, and recreation, and accommodation and food services","6,112","7.8%"
"        Other services, except public administration","3,663","4.7%"
"        Public administration","4,146","5.3%"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","78,574","78,574"
"        Private wage and salary workers","64,983","82.7%"
"        Government workers","9,606","12.2%"
"        Self-employed in own not incorporated business workers","3,892","5.0%"
"        Unpaid family workers","93","0.1%"
"INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS)","",""
"    Total households","57,095","57,095"
"        Less than $10,000","1,320","2.3%"
"        $10,000 to $14,999","1,266","2.2%"
"        $15,000 to $24,999","4,769","8.4%"
"        $25,000 to $34,999","5,345","9.4%"
"        $35,000 to $49,999","8,684","15.2%"
"        $50,000 to $74,999","10,693","18.7%"
"        $75,000 to $99,999","9,471","16.6%"
"        $100,000 to $149,999","8,623","15.1%"
"        $150,000 to $199,999","3,493","6.1%"
"        $200,000 or more","3,431","6.0%"
"        Median household income (dollars)","66,308","(X)"
"        Mean household income (dollars)","84,535","(X)"
"    With earnings","44,189","77.4%"
"        Mean earnings (dollars)","85,222","(X)"
"    With Social Security","18,787","32.9%"
"        Mean Social Security income (dollars)","20,866","(X)"
"    With retirement income","13,737","24.1%"
"        Mean retirement income (dollars)","24,336","(X)"
"    With Supplemental Security Income","2,228","3.9%"
"        Mean Supplemental Security Income (dollars)","12,909","(X)"
"    With cash public assistance income","1,025","1.8%"
"        Mean cash public assistance income (dollars)","4,502","(X)"
"    With Food Stamp/SNAP benefits in the past 12 months","4,802","8.4%"
"    Families","41,443","41,443"
"        Less than $10,000","604","1.5%"
"        $10,000 to $14,999","357","0.9%"
"        $15,000 to $24,999","1,738","4.2%"
"        $25,000 to $34,999","3,059","7.4%"
"        $35,000 to $49,999","6,783","16.4%"
"        $50,000 to $74,999","8,485","20.5%"
"        $75,000 to $99,999","7,456","18.0%"
"        $100,000 to $149,999","7,278","17.6%"
"        $150,000 to $199,999","2,952","7.1%"
"        $200,000 or more","2,731","6.6%"
"        Median family income (dollars)","73,756","(X)"
"        Mean family income (dollars)","92,045","(X)"
"    Per capita income (dollars)","29,615","(X)"
"    Nonfamily households","15,652","15,652"
"        Median nonfamily income (dollars)","40,396","(X)"
"        Mean nonfamily income (dollars)","59,434","(X)"
"    Median earnings for workers (dollars)","35,331","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","51,696","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","40,630","(X)"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","170,182","170,182"
"        With health insurance coverage","158,520","93.1%"
"            With private health insurance","125,738","73.9%"
"            With public coverage","55,223","32.4%"
"        No health insurance coverage","11,662","6.9%"
"    Civilian noninstitutionalized population under 18 years","45,381","45,381"
