"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","136,595","136,595"
"        In labor force","86,450","63.3%"
"            Civilian labor force","86,148","63.1%"
"                Employed","82,066","60.1%"
"                Unemployed","4,082","3.0%"
"            Armed Forces","302","0.2%"
"        Not in labor force","50,145","36.7%"
"    Civilian labor force","86,148","86,148"
"        Unemployment Rate","(X)","4.7%"
"    Females 16 years and over","70,426","70,426"
"        In labor force","40,168","57.0%"
"            Civilian labor force","40,115","57.0%"
"                Employed","38,868","55.2%"
"    Own children of the householder under 6 years","12,608","12,608"
"        All parents in family in labor force","9,005","71.4%"
"    Own children of the householder 6 to 17 years","26,530","26,530"
"        All parents in family in labor force","18,341","69.1%"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","81,059","81,059"
"        Car, truck, or van -- drove alone","64,324","79.4%"
"        Car, truck, or van -- carpooled","8,633","10.7%"
"        Public transportation (excluding taxicab)","570","0.7%"
"        Walked","505","0.6%"
"        Other means","972","1.2%"
"        Worked at home","6,055","7.5%"
"        Mean travel time to work (minutes)","29.7","(X)"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","82,066","82,066"
"        Management, business, science, and arts occupations","34,479","42.0%"
"        Service occupations","10,768","13.1%"
"        Sales and office occupations","20,584","25.1%"
"        Natural resources, construction, and maintenance occupations","7,419","9.0%"
"        Production, transportation, and material moving occupations","8,816","10.7%"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","82,066","82,066"
"        Agriculture, forestry, fishing and hunting, and mining","294","0.4%"
"        Construction","6,818","8.3%"
"        Manufacturing","5,386","6.6%"
"        Wholesale trade","2,077","2.5%"
"        Retail trade","9,675","11.8%"
"        Transportation and warehousing, and utilities","5,065","6.2%"
"        Information","1,271","1.5%"
"        Finance and insurance, and real estate and rental and leasing","9,978","12.2%"
"        Professional, scientific, and management, and administrative and waste management services","8,737","10.6%"
"        Educational services, and health care and social assistance","19,817","24.1%"
"        Arts, entertainment, and recreation, and accommodation and food services","5,302","6.5%"
"        Other services, except public administration","3,968","4.8%"
"        Public administration","3,678","4.5%"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","82,066","82,066"
"        Private wage and salary workers","67,054","81.7%"
"        Government workers","9,904","12.1%"
"        Self-employed in own not incorporated business workers","4,969","6.1%"
"        Unpaid family workers","139","0.2%"
"INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)","",""
"    Total households","63,218","63,218"
"        Less than $10,000","2,352","3.7%"
"        $10,000 to $14,999","2,545","4.0%"
"        $15,000 to $24,999","4,559","7.2%"
"        $25,000 to $34,999","4,186","6.6%"
"        $35,000 to $49,999","7,126","11.3%"
"        $50,000 to $74,999","11,791","18.7%"
"        $75,000 to $99,999","8,914","14.1%"
"        $100,000 to $149,999","11,892","18.8%"
"        $150,000 to $199,999","4,917","7.8%"
"        $200,000 or more","4,936","7.8%"
"        Median household income (dollars)","72,050","(X)"
"        Mean household income (dollars)","92,795","(X)"
"        With earnings","47,231","74.7%"
"            Mean earnings (dollars)","98,261","(X)"
"        With Social Security","22,263","35.2%"
"            Mean Social Security income (dollars)","20,151","(X)"
"        With retirement income","15,481","24.5%"
"            Mean retirement income (dollars)","26,697","(X)"
"        With Supplemental Security Income","1,977","3.1%"
"            Mean Supplemental Security Income (dollars)","10,603","(X)"
"        With cash public assistance income","1,015","1.6%"
"            Mean cash public assistance income (dollars)","2,810","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","3,751","5.9%"
"    Families","44,676","44,676"
"        Less than $10,000","946","2.1%"
"        $10,000 to $14,999","1,178","2.6%"
"        $15,000 to $24,999","1,292","2.9%"
"        $25,000 to $34,999","2,283","5.1%"
"        $35,000 to $49,999","4,285","9.6%"
"        $50,000 to $74,999","8,817","19.7%"
"        $75,000 to $99,999","7,580","17.0%"
"        $100,000 to $149,999","9,899","22.2%"
"        $150,000 to $199,999","3,903","8.7%"
"        $200,000 or more","4,493","10.1%"
"        Median family income (dollars)","85,664","(X)"
"        Mean family income (dollars)","106,452","(X)"
"    Per capita income (dollars)","35,183","(X)"
"    Nonfamily households","18,542","18,542"
"        Median nonfamily income (dollars)","37,293","(X)"
"        Mean nonfamily income (dollars)","54,543","(X)"
"    Median earnings for workers (dollars)","38,832","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","53,158","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","42,255","(X)"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","171,173","171,173"
"        With health insurance coverage","160,925","94.0%"
"            With private health insurance","132,124","77.2%"
"            With public coverage","51,053","29.8%"
"        No health insurance coverage","10,248","6.0%"
"    Civilian noninstitutionalized population under 19 years","41,461","41,461"
"        No health insurance coverage","1,200","2.9%"
"    Civilian noninstitutionalized population 19 to 64 years","99,296","99,296"
"        In labor force:","79,926","79,926"
"            Employed:","76,490","76,490"
"                With health insurance coverage","70,744","92.5%"
"                    With private health insurance","66,819","87.4%"
"                    With public coverage","6,522","8.5%"
"                No health insurance coverage","5,746","7.5%"
"            Unemployed:","3,436","3,436"
"                With health insurance coverage","2,534","73.7%"
"                    With private health insurance","1,619","47.1%"
"                    With public coverage","1,034","30.1%"
"                No health insurance coverage","902","26.3%"
"        Not in labor force:","19,370","19,370"
"            With health insurance coverage","17,400","89.8%"
"                With private health insurance","11,728","60.5%"
"                With public coverage","7,276","37.6%"
"            No health insurance coverage","1,970","10.2%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","",""
"    All families","(X)","5.6%"
"        With related children of the householder under 18 years","(X)","3.9%"
"            With related children of the householder under 5 years only","(X)","5.1%"
"    Married couple families","(X)","5.0%"
"        With related children of the householder under 18 years","(X)","2.1%"
"            With related children of the householder under 5 years only","(X)","4.0%"
"    Families with female householder, no husband present","(X)","6.1%"
"        With related children of the householder under 18 years","(X)","10.8%"
"            With related children of the householder under 5 years only","(X)","9.8%"
"    All people","(X)","6.7%"
"    Under 18 years","(X)","5.2%"
"        Related children of the householder under 18 years","(X)","4.9%"
"            Related children of the householder under 5 years","(X)","5.3%"
"            Related children of the householder 5 to 17 years","(X)","4.8%"
"    18 years and over","(X)","7.2%"
"    18 to 64 years","(X)","6.8%"
"    65 years and over","(X)","8.7%"
"    People in families","(X)","5.2%"
"    Unrelated individuals 15 years and over","(X)","15.0%"
