"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","131,763","131,763"
"        In labor force","83,767","63.6%"
"            Civilian labor force","83,636","63.5%"
"                Employed","78,497","59.6%"
"                Unemployed","5,139","3.9%"
"            Armed Forces","131","0.1%"
"        Not in labor force","47,996","36.4%"
"    Civilian labor force","83,636","83,636"
"        Percent Unemployed","(X)","6.1%"
"    Females 16 years and over","68,020","68,020"
"        In labor force","40,788","60.0%"
"            Civilian labor force","40,788","60.0%"
"                Employed","38,745","57.0%"
"    Own children under 6 years","10,539","10,539"
"        All parents in family in labor force","7,838","74.4%"
"    Own children 6 to 17 years","27,240","27,240"
"        All parents in family in labor force","20,626","75.7%"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","76,863","76,863"
"        Car, truck, or van -- drove alone","63,145","82.2%"
"        Car, truck, or van -- carpooled","7,051","9.2%"
"        Public transportation (excluding taxicab)","322","0.4%"
"        Walked","157","0.2%"
"        Other means","1,840","2.4%"
"        Worked at home","4,348","5.7%"
"    Mean travel time to work (minutes)","27.5","(X)"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","78,497","78,497"
"        Management, business, science, and arts occupations","29,728","37.9%"
"        Service occupations","12,922","16.5%"
"        Sales and office occupations","23,175","29.5%"
"        Natural resources, construction, and maintenance occupations","7,126","9.1%"
"        Production, transportation, and material moving occupations","5,546","7.1%"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","78,497","78,497"
"        Agriculture, forestry, fishing and hunting, and mining","122","0.2%"
"        Construction","7,070","9.0%"
"        Manufacturing","4,513","5.7%"
"        Wholesale trade","1,842","2.3%"
"        Retail trade","11,563","14.7%"
"        Transportation and warehousing, and utilities","4,304","5.5%"
"        Information","1,133","1.4%"
"        Finance and insurance, and real estate and rental and leasing","9,538","12.2%"
"        Professional, scientific, and management, and administrative and waste management services","6,924","8.8%"
"        Educational services, and health care and social assistance","16,982","21.6%"
"        Arts, entertainment, and recreation, and accommodation and food services","6,184","7.9%"
"        Other services, except public administration","3,779","4.8%"
"        Public administration","4,543","5.8%"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","78,497","78,497"
"        Private wage and salary workers","64,955","82.7%"
"        Government workers","9,668","12.3%"
"        Self-employed in own not incorporated business workers","3,874","4.9%"
"        Unpaid family workers","0","0.0%"
"INCOME AND BENEFITS (IN 2014 INFLATION-ADJUSTED DOLLARS)","",""
"    Total households","61,466","61,466"
"        Less than $10,000","2,065","3.4%"
"        $10,000 to $14,999","2,440","4.0%"
"        $15,000 to $24,999","4,638","7.5%"
"        $25,000 to $34,999","5,154","8.4%"
"        $35,000 to $49,999","9,150","14.9%"
"        $50,000 to $74,999","10,481","17.1%"
"        $75,000 to $99,999","11,358","18.5%"
"        $100,000 to $149,999","10,066","16.4%"
"        $150,000 to $199,999","3,187","5.2%"
"        $200,000 or more","2,927","4.8%"
"        Median household income (dollars)","66,371","(X)"
"        Mean household income (dollars)","78,817","(X)"
"    With earnings","47,857","77.9%"
"        Mean earnings (dollars)","79,119","(X)"
"    With Social Security","20,274","33.0%"
"        Mean Social Security income (dollars)","19,822","(X)"
"    With retirement income","13,363","21.7%"
"        Mean retirement income (dollars)","25,520","(X)"
"    With Supplemental Security Income","2,032","3.3%"
"        Mean Supplemental Security Income (dollars)","12,889","(X)"
"    With cash public assistance income","1,042","1.7%"
"        Mean cash public assistance income (dollars)","3,906","(X)"
"    With Food Stamp/SNAP benefits in the past 12 months","5,092","8.3%"
"    Families","42,820","42,820"
"        Less than $10,000","954","2.2%"
"        $10,000 to $14,999","567","1.3%"
"        $15,000 to $24,999","1,660","3.9%"
"        $25,000 to $34,999","2,974","6.9%"
"        $35,000 to $49,999","6,123","14.3%"
"        $50,000 to $74,999","8,117","19.0%"
"        $75,000 to $99,999","9,249","21.6%"
"        $100,000 to $149,999","7,565","17.7%"
"        $150,000 to $199,999","2,910","6.8%"
"        $200,000 or more","2,701","6.3%"
"        Median family income (dollars)","77,493","(X)"
"        Mean family income (dollars)","89,621","(X)"
"    Per capita income (dollars)","30,176","(X)"
"    Nonfamily households","18,646","18,646"
"        Median nonfamily income (dollars)","37,070","(X)"
"        Mean nonfamily income (dollars)","49,915","(X)"
"    Median earnings for workers (dollars)","37,002","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","51,995","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","42,929","(X)"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","165,843","165,843"
"        With health insurance coverage","151,733","91.5%"
"            With private health insurance","119,715","72.2%"
"            With public coverage","52,984","31.9%"
"        No health insurance coverage","14,110","8.5%"
"    Civilian noninstitutionalized population under 18 years","39,362","39,362"
"        No health insurance coverage","2,247","5.7%"
"    Civilian noninstitutionalized population 18 to 64 years","99,337","99,337"
"        In labor force:","78,745","78,745"
"            Employed:","74,000","74,000"
"                With health insurance coverage","67,861","91.7%"
"                    With private health insurance","62,902","85.0%"
"                    With public coverage","7,327","9.9%"
"                No health insurance coverage","6,139","8.3%"
"            Unemployed:","4,745","4,745"
"                With health insurance coverage","3,033","63.9%"
"                    With private health insurance","1,639","34.5%"
"                    With public coverage","1,562","32.9%"
"                No health insurance coverage","1,712","36.1%"
"        Not in labor force:","20,592","20,592"
"            With health insurance coverage","17,528","85.1%"
"                With private health insurance","10,873","52.8%"
"                With public coverage","8,496","41.3%"
"            No health insurance coverage","3,064","14.9%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","",""
"    All families","(X)","6.0%"
"        With related children under 18 years","(X)","8.2%"
"            With related children under 5 years only","(X)","11.7%"
"    Married couple families","(X)","3.3%"
"        With related children under 18 years","(X)","3.9%"
"            With related children under 5 years only","(X)","8.5%"
"    Families with female householder, no husband present","(X)","17.3%"
"        With related children under 18 years","(X)","19.8%"
"            With related children under 5 years only","(X)","20.9%"
"    All people","(X)","9.2%"
"    Under 18 years","(X)","10.0%"
"        Related children under 18 years","(X)","10.0%"
"            Related children under 5 years","(X)","13.6%"
"            Related children 5 to 17 years","(X)","8.9%"
"    18 years and over","(X)","8.9%"
"    18 to 64 years","(X)","10.2%"
"    65 years and over","(X)","4.2%"
"        People in families","(X)","7.6%"
"        Unrelated individuals 15 years and over","(X)","17.3%"
