"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","158,505","158,505"
"        In labor force","98,535","62.2%"
"            Civilian labor force","98,442","62.1%"
"                Employed","93,888","59.2%"
"                Unemployed","4,554","2.9%"
"            Armed Forces","93","0.1%"
"        Not in labor force","59,970","37.8%"
"    Civilian labor force","98,442","98,442"
"        Unemployment Rate","(X)","4.6%"
"    Females 16 years and over","81,875","81,875"
"        In labor force","45,209","55.2%"
"            Civilian labor force","45,209","55.2%"
"                Employed","43,619","53.3%"
"    Own children of the householder under 6 years","11,083","11,083"
"        All parents in family in labor force","7,124","64.3%"
"    Own children of the householder 6 to 17 years","30,248","30,248"
"        All parents in family in labor force","20,667","68.3%"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","92,918","92,918"
"        Car, truck, or van -- drove alone","60,105","64.7%"
"        Car, truck, or van -- carpooled","6,499","7.0%"
"        Public transportation (excluding taxicab)","435","0.5%"
"        Walked","826","0.9%"
"        Other means","1,152","1.2%"
"        Worked from home","23,901","25.7%"
"        Mean travel time to work (minutes)","29.5","(X)"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","93,888","93,888"
"        Management, business, science, and arts occupations","45,312","48.3%"
"        Service occupations","11,742","12.5%"
"        Sales and office occupations","21,754","23.2%"
"        Natural resources, construction, and maintenance occupations","5,779","6.2%"
"        Production, transportation, and material moving occupations","9,301","9.9%"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","93,888","93,888"
"        Agriculture, forestry, fishing and hunting, and mining","316","0.3%"
"        Construction","6,468","6.9%"
"        Manufacturing","6,525","6.9%"
"        Wholesale trade","1,809","1.9%"
"        Retail trade","13,380","14.3%"
"        Transportation and warehousing, and utilities","4,696","5.0%"
"        Information","1,300","1.4%"
"        Finance and insurance, and real estate and rental and leasing","11,263","12.0%"
"        Professional, scientific, and management, and administrative and waste management services","11,255","12.0%"
"        Educational services, and health care and social assistance","21,428","22.8%"
"        Arts, entertainment, and recreation, and accommodation and food services","5,984","6.4%"
"        Other services, except public administration","3,623","3.9%"
"        Public administration","5,841","6.2%"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","93,888","93,888"
"        Private wage and salary workers","76,093","81.0%"
"        Government workers","13,074","13.9%"
"        Self-employed in own not incorporated business workers","4,531","4.8%"
"        Unpaid family workers","190","0.2%"
"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)","",""
"    Total households","75,479","75,479"
"        Less than $10,000","2,106","2.8%"
"        $10,000 to $14,999","1,189","1.6%"
"        $15,000 to $24,999","4,010","5.3%"
"        $25,000 to $34,999","4,690","6.2%"
"        $35,000 to $49,999","7,725","10.2%"
"        $50,000 to $74,999","11,055","14.6%"
"        $75,000 to $99,999","9,048","12.0%"
"        $100,000 to $149,999","17,715","23.5%"
"        $150,000 to $199,999","8,058","10.7%"
"        $200,000 or more","9,883","13.1%"
"        Median household income (dollars)","92,566","(X)"
"        Mean household income (dollars)","114,355","(X)"
"        With earnings","58,445","77.4%"
"            Mean earnings (dollars)","116,038","(X)"
"        With Social Security","25,702","34.1%"
"            Mean Social Security income (dollars)","23,439","(X)"
"        With retirement income","21,372","28.3%"
"            Mean retirement income (dollars)","33,353","(X)"
"        With Supplemental Security Income","2,295","3.0%"
"            Mean Supplemental Security Income (dollars)","10,074","(X)"
"        With cash public assistance income","2,265","3.0%"
"            Mean cash public assistance income (dollars)","4,143","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","4,180","5.5%"
"    Families","51,578","51,578"
"        Less than $10,000","1,432","2.8%"
"        $10,000 to $14,999","294","0.6%"
"        $15,000 to $24,999","1,654","3.2%"
"        $25,000 to $34,999","2,470","4.8%"
"        $35,000 to $49,999","3,419","6.6%"
"        $50,000 to $74,999","6,443","12.5%"
"        $75,000 to $99,999","6,835","13.3%"
"        $100,000 to $149,999","13,653","26.5%"
"        $150,000 to $199,999","7,201","14.0%"
"        $200,000 or more","8,177","15.9%"
"        Median family income (dollars)","112,348","(X)"
"        Mean family income (dollars)","127,277","(X)"
"    Per capita income (dollars)","44,504","(X)"
"    Nonfamily households","23,901","23,901"
"        Median nonfamily income (dollars)","54,011","(X)"
"        Mean nonfamily income (dollars)","77,059","(X)"
"    Median earnings for workers (dollars)","50,119","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","71,154","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","56,456","(X)"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","193,911","193,911"
"        With health insurance coverage","180,780","93.2%"
"            With private health insurance","144,675","74.6%"
"            With public coverage","62,505","32.2%"
"        No health insurance coverage","13,131","6.8%"
"    Civilian noninstitutionalized population under 19 years","44,590","44,590"
"        No health insurance coverage","2,725","6.1%"
"    Civilian noninstitutionalized population 19 to 64 years","113,681","113,681"
"        In labor force:","89,683","89,683"
"            Employed:","85,838","85,838"
"                With health insurance coverage","80,284","93.5%"
"                    With private health insurance","76,342","88.9%"
"                    With public coverage","7,109","8.3%"
"                No health insurance coverage","5,554","6.5%"
"            Unemployed:","3,845","3,845"
"                With health insurance coverage","3,010","78.3%"
"                    With private health insurance","1,805","46.9%"
"                    With public coverage","1,205","31.3%"
"                No health insurance coverage","835","21.7%"
"        Not in labor force:","23,998","23,998"
"            With health insurance coverage","20,218","84.2%"
"                With private health insurance","14,210","59.2%"
"                With public coverage","7,427","30.9%"
"            No health insurance coverage","3,780","15.8%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","",""
"    All families","(X)","5.3%"
"        With related children of the householder under 18 years","(X)","8.0%"
"            With related children of the householder under 5 years only","(X)","7.5%"
"        Married couple families","(X)","3.1%"
"            With related children of the householder under 18 years","(X)","4.3%"
"                With related children of the householder under 5 years only","(X)","0.0%"
"        Families with female householder, no spouse present","(X)","15.5%"
"            With related children of the householder under 18 years","(X)","25.2%"
"                With related children of the householder under 5 years only","(X)","42.4%"
"    All people","(X)","7.8%"
"        Under 18 years","(X)","8.9%"
"            Related children of the householder under 18 years","(X)","8.3%"
"                Related children of the householder under 5 years","(X)","7.1%"
"                Related children of the householder 5 to 17 years","(X)","8.7%"
"        18 years and over","(X)","7.5%"
"            18 to 64 years","(X)","8.2%"
"            65 years and over","(X)","5.3%"
"        People in families","(X)","5.7%"
"        Unrelated individuals 15 years and over","(X)","17.2%"
