"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","125,277","125,277"
"    In labor force","82,589","65.9%"
"        Civilian labor force","82,461","65.8%"
"            Employed","75,640","60.4%"
"            Unemployed","6,821","5.4%"
"        Armed Forces","128","0.1%"
"    Not in labor force","42,688","34.1%"
"    Civilian labor force","82,461","82,461"
"    Percent Unemployed","(X)","8.3%"
"    Females 16 years and over","64,632","64,632"
"    In labor force","38,096","58.9%"
"        Civilian labor force","38,096","58.9%"
"            Employed","35,451","54.9%"
"    Own children under 6 years","9,704","9,704"
"    All parents in family in labor force","6,015","62.0%"
"    Own children 6 to 17 years","25,265","25,265"
"    All parents in family in labor force","19,988","79.1%"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","73,170","73,170"
"    Car, truck, or van -- drove alone","58,344","79.7%"
"    Car, truck, or van -- carpooled","8,147","11.1%"
"    Public transportation (excluding taxicab)","272","0.4%"
"    Walked","221","0.3%"
"    Other means","1,641","2.2%"
"    Worked at home","4,545","6.2%"
"    Mean travel time to work (minutes)","27.2","(X)"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","75,640","75,640"
"    Management, business, science, and arts occupations","25,732","34.0%"
"    Service occupations","16,125","21.3%"
"    Sales and office occupations","20,202","26.7%"
"    Natural resources, construction, and maintenance occupations","5,596","7.4%"
"    Production, transportation, and material moving occupations","7,985","10.6%"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","75,640","75,640"
"    Agriculture, forestry, fishing and hunting, and mining","239","0.3%"
"    Construction","2,506","3.3%"
"    Manufacturing","5,952","7.9%"
"    Wholesale trade","1,909","2.5%"
"    Retail trade","11,531","15.2%"
"    Transportation and warehousing, and utilities","3,485","4.6%"
"    Information","2,569","3.4%"
"    Finance and insurance, and real estate and rental and leasing","7,342","9.7%"
"    Professional, scientific, and management, and administrative and waste management services","8,264","10.9%"
"    Educational services, and health care and social assistance","16,022","21.2%"
"    Arts, entertainment, and recreation, and accommodation and food services","5,699","7.5%"
"    Other services, except public administration","4,007","5.3%"
"    Public administration","6,115","8.1%"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","75,640","75,640"
"    Private wage and salary workers","57,902","76.5%"
"    Government workers","13,091","17.3%"
"    Self-employed in own not incorporated business workers","4,435","5.9%"
"    Unpaid family workers","212","0.3%"
"INCOME AND BENEFITS (IN 2011 INFLATION-ADJUSTED DOLLARS)","",""
"    Total households","57,921","57,921"
"    Less than $10,000","2,873","5.0%"
"    $10,000 to $14,999","3,077","5.3%"
"    $15,000 to $24,999","4,822","8.3%"
"    $25,000 to $34,999","4,716","8.1%"
"    $35,000 to $49,999","6,938","12.0%"
"    $50,000 to $74,999","11,507","19.9%"
"    $75,000 to $99,999","8,617","14.9%"
"    $100,000 to $149,999","10,520","18.2%"
"    $150,000 to $199,999","3,631","6.3%"
"    $200,000 or more","1,220","2.1%"
"    Median household income (dollars)","64,864","(X)"
"    Mean household income (dollars)","73,932","(X)"
"    With earnings","45,502","78.6%"
"        Mean earnings (dollars)","76,234","(X)"
"    With Social Security","16,624","28.7%"
"        Mean Social Security income (dollars)","19,348","(X)"
"    With retirement income","12,624","21.8%"
"        Mean retirement income (dollars)","21,566","(X)"
"    With Supplemental Security Income","1,436","2.5%"
"        Mean Supplemental Security Income (dollars)","9,272","(X)"
"    With cash public assistance income","972","1.7%"
"        Mean cash public assistance income (dollars)","3,789","(X)"
"    With Food Stamp/SNAP benefits in the past 12 months","4,820","8.3%"
"    Families","40,323","40,323"
"    Less than $10,000","1,523","3.8%"
"    $10,000 to $14,999","718","1.8%"
"    $15,000 to $24,999","2,775","6.9%"
"    $25,000 to $34,999","2,284","5.7%"
"    $35,000 to $49,999","4,021","10.0%"
"    $50,000 to $74,999","7,786","19.3%"
"    $75,000 to $99,999","7,410","18.4%"
"    $100,000 to $149,999","9,299","23.1%"
"    $150,000 to $199,999","3,324","8.2%"
"    $200,000 or more","1,183","2.9%"
"    Median family income (dollars)","77,630","(X)"
"    Mean family income (dollars)","86,190","(X)"
"    Per capita income (dollars)","28,179","(X)"
"    Nonfamily households","17,598","17,598"
"    Median nonfamily income (dollars)","35,548","(X)"
"    Mean nonfamily income (dollars)","43,579","(X)"
"    Median earnings for workers (dollars)","34,286","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","52,485","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","37,541","(X)"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","155,564","155,564"
"    With health insurance coverage","135,595","87.2%"
"        With private health insurance","113,218","72.8%"
"        With public coverage","38,475","24.7%"
"    No health insurance coverage","19,969","12.8%"
"    Civilian noninstitutionalized population under 18 years","36,657","36,657"
"    No health insurance coverage","3,147","8.6%"
"    Civilian noninstitutionalized population 18 to 64 years","98,362","98,362"
"    In labor force:","77,502","77,502"
"        Employed:","71,711","71,711"
"            With health insurance coverage","61,285","85.5%"
"                With private health insurance","58,470","81.5%"
"                With public coverage","4,060","5.7%"
"            No health insurance coverage","10,426","14.5%"
"        Unemployed:","5,791","5,791"
"            With health insurance coverage","3,803","65.7%"
"                With private health insurance","2,010","34.7%"
"                With public coverage","1,793","31.0%"
"            No health insurance coverage","1,988","34.3%"
"    Not in labor force:","20,860","20,860"
"        With health insurance coverage","16,848","80.8%"
"            With private health insurance","14,004","67.1%"
"            With public coverage","5,031","24.1%"
"        No health insurance coverage","4,012","19.2%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","",""
"    All families","(X)","7.8%"
"        With related children under 18 years","(X)","12.3%"
"            With related children under 5 years only","(X)","15.0%"
"    Married couple families","(X)","5.1%"
"        With related children under 18 years","(X)","9.1%"
"            With related children under 5 years only","(X)","8.8%"
"    Families with female householder, no husband present","(X)","15.0%"
"        With related children under 18 years","(X)","20.4%"
"            With related children under 5 years only","(X)","57.8%"
"    All people","(X)","11.1%"
"    Under 18 years","(X)","16.6%"
"        Related children under 18 years","(X)","16.1%"
"            Related children under 5 years","(X)","20.9%"
"            Related children 5 to 17 years","(X)","14.8%"
"    18 years and over","(X)","9.4%"
"        18 to 64 years","(X)","9.9%"
"        65 years and over","(X)","6.8%"
"    People in families","(X)","10.0%"
"    Unrelated individuals 15 years and over","(X)","16.5%"
