"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","125,238","125,238"
"        In labor force","77,469","61.9%"
"            Civilian labor force","77,210","61.7%"
"                Employed","71,620","57.2%"
"                Unemployed","5,590","4.5%"
"            Armed Forces","259","0.2%"
"        Not in labor force","47,769","38.1%"
"    Civilian labor force","77,210","77,210"
"        Percent Unemployed","(X)","7.2%"
"    Females 16 years and over","66,433","66,433"
"        In labor force","37,429","56.3%"
"            Civilian labor force","37,385","56.3%"
"                Employed","34,614","52.1%"
"    Own children under 6 years","12,548","12,548"
"        All parents in family in labor force","6,807","54.2%"
"    Own children 6 to 17 years","27,370","27,370"
"        All parents in family in labor force","20,318","74.2%"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","70,312","70,312"
"        Car, truck, or van -- drove alone","56,100","79.8%"
"        Car, truck, or van -- carpooled","7,614","10.8%"
"        Public transportation (excluding taxicab)","416","0.6%"
"        Walked","344","0.5%"
"        Other means","1,097","1.6%"
"        Worked at home","4,741","6.7%"
"    Mean travel time to work (minutes)","27.4","(X)"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","71,620","71,620"
"        Management, business, science, and arts occupations","27,500","38.4%"
"        Service occupations","11,501","16.1%"
"        Sales and office occupations","21,643","30.2%"
"        Natural resources, construction, and maintenance occupations","6,023","8.4%"
"        Production, transportation, and material moving occupations","4,953","6.9%"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","71,620","71,620"
"        Agriculture, forestry, fishing and hunting, and mining","350","0.5%"
"        Construction","5,152","7.2%"
"        Manufacturing","5,254","7.3%"
"        Wholesale trade","1,861","2.6%"
"        Retail trade","7,893","11.0%"
"        Transportation and warehousing, and utilities","4,202","5.9%"
"        Information","1,452","2.0%"
"        Finance and insurance, and real estate and rental and leasing","7,744","10.8%"
"        Professional, scientific, and management, and administrative and waste management services","6,841","9.6%"
"        Educational services, and health care and social assistance","16,891","23.6%"
"        Arts, entertainment, and recreation, and accommodation and food services","6,392","8.9%"
"        Other services, except public administration","3,833","5.4%"
"        Public administration","3,755","5.2%"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","71,620","71,620"
"        Private wage and salary workers","59,140","82.6%"
"        Government workers","9,065","12.7%"
"        Self-employed in own not incorporated business workers","3,264","4.6%"
"        Unpaid family workers","151","0.2%"
"INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS)","",""
"    Total households","59,438","59,438"
"        Less than $10,000","2,362","4.0%"
"        $10,000 to $14,999","2,536","4.3%"
"        $15,000 to $24,999","5,083","8.6%"
"        $25,000 to $34,999","5,749","9.7%"
"        $35,000 to $49,999","8,045","13.5%"
"        $50,000 to $74,999","12,871","21.7%"
"        $75,000 to $99,999","7,699","13.0%"
"        $100,000 to $149,999","8,860","14.9%"
