"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","160,928","160,928"
"        In labor force","100,648","62.5%"
"            Civilian labor force","100,269","62.3%"
"                Employed","97,445","60.6%"
"                Unemployed","2,824","1.8%"
"            Armed Forces","379","0.2%"
"        Not in labor force","60,280","37.5%"
"    Civilian labor force","100,269","100,269"
"        Unemployment Rate","(X)","2.8%"
"    Females 16 years and over","83,463","83,463"
"        In labor force","47,385","56.8%"
"            Civilian labor force","47,255","56.6%"
"                Employed","46,079","55.2%"
"    Own children of the householder under 6 years","10,695","10,695"
"        All parents in family in labor force","6,668","62.3%"
"    Own children of the householder 6 to 17 years","29,292","29,292"
"        All parents in family in labor force","20,858","71.2%"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","94,661","94,661"
"        Car, truck, or van -- drove alone","63,196","66.8%"
"        Car, truck, or van -- carpooled","8,432","8.9%"
"        Public transportation (excluding taxicab)","103","0.1%"
"        Walked","826","0.9%"
"        Other means","3,135","3.3%"
"        Worked from home","18,969","20.0%"
"        Mean travel time to work (minutes)","26.9","(X)"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","97,445","97,445"
"        Management, business, science, and arts occupations","43,940","45.1%"
"        Service occupations","13,699","14.1%"
"        Sales and office occupations","23,119","23.7%"
"        Natural resources, construction, and maintenance occupations","6,353","6.5%"
"        Production, transportation, and material moving occupations","10,334","10.6%"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","97,445","97,445"
"        Agriculture, forestry, fishing and hunting, and mining","269","0.3%"
"        Construction","7,720","7.9%"
"        Manufacturing","4,772","4.9%"
"        Wholesale trade","3,070","3.2%"
"        Retail trade","12,714","13.0%"
"        Transportation and warehousing, and utilities","5,529","5.7%"
"        Information","1,147","1.2%"
"        Finance and insurance, and real estate and rental and leasing","10,534","10.8%"
"        Professional, scientific, and management, and administrative and waste management services","10,721","11.0%"
"        Educational services, and health care and social assistance","22,440","23.0%"
"        Arts, entertainment, and recreation, and accommodation and food services","8,679","8.9%"
"        Other services, except public administration","4,954","5.1%"
"        Public administration","4,896","5.0%"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","97,445","97,445"
"        Private wage and salary workers","77,374","79.4%"
"        Government workers","15,396","15.8%"
"        Self-employed in own not incorporated business workers","4,551","4.7%"
"        Unpaid family workers","124","0.1%"
"INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)","",""
"    Total households","73,700","73,700"
"        Less than $10,000","2,788","3.8%"
"        $10,000 to $14,999","850","1.2%"
"        $15,000 to $24,999","3,593","4.9%"
"        $25,000 to $34,999","3,981","5.4%"
"        $35,000 to $49,999","6,151","8.3%"
"        $50,000 to $74,999","13,281","18.0%"
"        $75,000 to $99,999","10,484","14.2%"
"        $100,000 to $149,999","14,637","19.9%"
"        $150,000 to $199,999","9,924","13.5%"
"        $200,000 or more","8,011","10.9%"
"        Median household income (dollars)","86,948","(X)"
"        Mean household income (dollars)","111,308","(X)"
"        With earnings","55,638","75.5%"
"            Mean earnings (dollars)","112,487","(X)"
"        With Social Security","25,139","34.1%"
"            Mean Social Security income (dollars)","24,121","(X)"
"        With retirement income","24,134","32.7%"
"            Mean retirement income (dollars)","34,190","(X)"
"        With Supplemental Security Income","1,673","2.3%"
"            Mean Supplemental Security Income (dollars)","13,197","(X)"
"        With cash public assistance income","1,356","1.8%"
"            Mean cash public assistance income (dollars)","4,654","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","5,922","8.0%"
"    Families","53,166","53,166"
"        Less than $10,000","709","1.3%"
"        $10,000 to $14,999","569","1.1%"
"        $15,000 to $24,999","673","1.3%"
"        $25,000 to $34,999","1,831","3.4%"
"        $35,000 to $49,999","3,320","6.2%"
"        $50,000 to $74,999","9,323","17.5%"
"        $75,000 to $99,999","8,860","16.7%"
"        $100,000 to $149,999","11,755","22.1%"
"        $150,000 to $199,999","8,878","16.7%"
"        $200,000 or more","7,248","13.6%"
"        Median family income (dollars)","105,881","(X)"
"        Mean family income (dollars)","127,731","(X)"
"    Per capita income (dollars)","41,944","(X)"
"    Nonfamily households","20,534","20,534"
"        Median nonfamily income (dollars)","46,516","(X)"
"        Mean nonfamily income (dollars)","61,349","(X)"
"    Median earnings for workers (dollars)","46,531","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","63,607","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","53,905","(X)"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","195,813","195,813"
"        With health insurance coverage","182,670","93.3%"
"            With private health insurance","144,068","73.6%"
"            With public coverage","62,130","31.7%"
"        No health insurance coverage","13,143","6.7%"
"    Civilian noninstitutionalized population under 19 years","44,635","44,635"
"        No health insurance coverage","1,857","4.2%"
"    Civilian noninstitutionalized population 19 to 64 years","114,534","114,534"
"        In labor force:","91,378","91,378"
"            Employed:","88,984","88,984"
"                With health insurance coverage","81,252","91.3%"
"                    With private health insurance","76,253","85.7%"
"                    With public coverage","6,879","7.7%"
"                No health insurance coverage","7,732","8.7%"
"            Unemployed:","2,394","2,394"
"                With health insurance coverage","2,147","89.7%"
"                    With private health insurance","1,658","69.3%"
"                    With public coverage","673","28.1%"
"                No health insurance coverage","247","10.3%"
"        Not in labor force:","23,156","23,156"
"            With health insurance coverage","19,965","86.2%"
"                With private health insurance","14,608","63.1%"
"                With public coverage","6,397","27.6%"
"            No health insurance coverage","3,191","13.8%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","",""
"    All families","(X)","4.5%"
"        With related children of the householder under 18 years","(X)","6.8%"
"            With related children of the householder under 5 years only","(X)","6.2%"
"        Married couple families","(X)","3.8%"
"            With related children of the householder under 18 years","(X)","5.9%"
"                With related children of the householder under 5 years only","(X)","5.7%"
"        Families with female householder, no spouse present","(X)","7.8%"
"            With related children of the householder under 18 years","(X)","12.8%"
"                With related children of the householder under 5 years only","(X)","8.8%"
"    All people","(X)","7.2%"
"        Under 18 years","(X)","8.1%"
"            Related children of the householder under 18 years","(X)","7.9%"
"                Related children of the householder under 5 years","(X)","7.7%"
"                Related children of the householder 5 to 17 years","(X)","8.0%"
"        18 years and over","(X)","6.9%"
"            18 to 64 years","(X)","7.0%"
"            65 years and over","(X)","6.7%"
"        People in families","(X)","5.3%"
"        Unrelated individuals 15 years and over","(X)","17.4%"
