"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","119,817","119,817"
"    In labor force","78,861","65.8%"
"        Civilian labor force","78,577","65.6%"
"            Employed","70,342","58.7%"
"            Unemployed","8,235","6.9%"
"        Armed Forces","284","0.2%"
"    Not in labor force","40,956","34.2%"
"    Civilian labor force","78,577","78,577"
"    Percent Unemployed","(X)","10.5%"
"    Females 16 years and over","63,511","63,511"
"    In labor force","37,505","59.1%"
"        Civilian labor force","37,358","58.8%"
"            Employed","34,257","53.9%"
"    Own children under 6 years","11,836","11,836"
"    All parents in family in labor force","7,082","59.8%"
"    Own children 6 to 17 years","25,917","25,917"
"    All parents in family in labor force","19,814","76.5%"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","69,851","69,851"
"    Car, truck, or van -- drove alone","55,586","79.6%"
"    Car, truck, or van -- carpooled","7,771","11.1%"
"    Public transportation (excluding taxicab)","492","0.7%"
"    Walked","1,020","1.5%"
"    Other means","894","1.3%"
"    Worked at home","4,088","5.9%"
"    Mean travel time to work (minutes)","28.3","(X)"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","70,342","70,342"
"    Management, business, science, and arts occupations","26,914","38.3%"
"    Service occupations","10,211","14.5%"
"    Sales and office occupations","22,338","31.8%"
"    Natural resources, construction, and maintenance occupations","5,220","7.4%"
"    Production, transportation, and material moving occupations","5,659","8.0%"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","70,342","70,342"
"    Agriculture, forestry, fishing and hunting, and mining","106","0.2%"
"    Construction","4,323","6.1%"
"    Manufacturing","3,199","4.5%"
"    Wholesale trade","1,856","2.6%"
"    Retail trade","10,078","14.3%"
"    Transportation and warehousing, and utilities","4,506","6.4%"
"    Information","1,996","2.8%"
"    Finance and insurance, and real estate and rental and leasing","8,448","12.0%"
"    Professional, scientific, and management, and administrative and waste management services","6,963","9.9%"
"    Educational services, and health care and social assistance","17,071","24.3%"
"    Arts, entertainment, and recreation, and accommodation and food services","6,048","8.6%"
"    Other services, except public administration","2,661","3.8%"
"    Public administration","3,087","4.4%"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","70,342","70,342"
"    Private wage and salary workers","57,644","81.9%"
"    Government workers","9,108","12.9%"
"    Self-employed in own not incorporated business workers","3,590","5.1%"
"    Unpaid family workers","0","0.0%"
"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)","",""
"    Total households","55,293","55,293"
"    Less than $10,000","2,104","3.8%"
"    $10,000 to $14,999","1,981","3.6%"
"    $15,000 to $24,999","6,243","11.3%"
"    $25,000 to $34,999","5,432","9.8%"
"    $35,000 to $49,999","8,867","16.0%"
"    $50,000 to $74,999","11,648","21.1%"
"    $75,000 to $99,999","7,258","13.1%"
"    $100,000 to $149,999","7,761","14.0%"
"    $150,000 to $199,999","2,161","3.9%"
"    $200,000 or more","1,838","3.3%"
"    Median household income (dollars)","53,848","(X)"
"    Mean household income (dollars)","69,963","(X)"
"    With earnings","43,470","78.6%"
"        Mean earnings (dollars)","70,369","(X)"
"    With Social Security","16,389","29.6%"
"        Mean Social Security income (dollars)","18,309","(X)"
"    With retirement income","12,651","22.9%"
"        Mean retirement income (dollars)","22,111","(X)"
"    With Supplemental Security Income","1,405","2.5%"
"        Mean Supplemental Security Income (dollars)","8,476","(X)"
"    With cash public assistance income","1,525","2.8%"
"        Mean cash public assistance income (dollars)","3,272","(X)"
"    With Food Stamp/SNAP benefits in the past 12 months","4,289","7.8%"
"    Families","39,842","39,842"
"    Less than $10,000","953","2.4%"
"    $10,000 to $14,999","1,551","3.9%"
"    $15,000 to $24,999","3,374","8.5%"
"    $25,000 to $34,999","3,402","8.5%"
"    $35,000 to $49,999","5,633","14.1%"
"    $50,000 to $74,999","8,312","20.9%"
"    $75,000 to $99,999","6,182","15.5%"
"    $100,000 to $149,999","6,890","17.3%"
"    $150,000 to $199,999","1,777","4.5%"
"    $200,000 or more","1,768","4.4%"
"    Median family income (dollars)","60,532","(X)"
"    Mean family income (dollars)","77,902","(X)"
"    Per capita income (dollars)","25,794","(X)"
"    Nonfamily households","15,451","15,451"
"    Median nonfamily income (dollars)","35,118","(X)"
"    Mean nonfamily income (dollars)","45,177","(X)"
"    Median earnings for workers (dollars)","31,423","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","46,456","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","37,903","(X)"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","153,842","153,842"
"    With health insurance coverage","131,498","85.5%"
"        With private health insurance","106,422","69.2%"
"        With public coverage","42,780","27.8%"
"    No health insurance coverage","22,344","14.5%"
"    Civilian noninstitutionalized population under 18 years","39,233","39,233"
"    No health insurance coverage","4,502","11.5%"
"    Civilian noninstitutionalized population 18 to 64 years","93,037","93,037"
"    In labor force:","74,970","74,970"
"        Employed:","67,290","67,290"
"            With health insurance coverage","56,725","84.3%"
"                With private health insurance","53,881","80.1%"
"                With public coverage","4,874","7.2%"
"            No health insurance coverage","10,565","15.7%"
"        Unemployed:","7,680","7,680"
"            With health insurance coverage","3,928","51.1%"
"                With private health insurance","2,389","31.1%"
"                With public coverage","1,672","21.8%"
"            No health insurance coverage","3,752","48.9%"
"    Not in labor force:","18,067","18,067"
"        With health insurance coverage","14,988","83.0%"
"            With private health insurance","10,697","59.2%"
"            With public coverage","6,022","33.3%"
"        No health insurance coverage","3,079","17.0%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","",""
"    All families","(X)","8.6%"
"        With related children under 18 years","(X)","15.1%"
"            With related children under 5 years only","(X)","26.0%"
"    Married couple families","(X)","4.2%"
"        With related children under 18 years","(X)","7.5%"
"            With related children under 5 years only","(X)","15.6%"
"    Families with female householder, no husband present","(X)","21.2%"
"        With related children under 18 years","(X)","28.7%"
"            With related children under 5 years only","(X)","44.8%"
"    All people","(X)","10.3%"
"    Under 18 years","(X)","16.0%"
"        Related children under 18 years","(X)","16.0%"
"            Related children under 5 years","(X)","25.3%"
"            Related children 5 to 17 years","(X)","12.8%"
"    18 years and over","(X)","8.4%"
"        18 to 64 years","(X)","9.1%"
"        65 years and over","(X)","5.5%"
"    People in families","(X)","9.2%"
"    Unrelated individuals 15 years and over","(X)","17.0%"
