"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","159,179","159,179"
"        In labor force","97,318","61.1%"
"            Civilian labor force","97,205","61.1%"
"                Employed","94,561","59.4%"
"                Unemployed","2,644","1.7%"
"            Armed Forces","113","0.1%"
"        Not in labor force","61,861","38.9%"
"    Civilian labor force","97,205","97,205"
"        Unemployment Rate","(X)","2.7%"
"    Females 16 years and over","82,944","82,944"
"        In labor force","46,415","56.0%"
"            Civilian labor force","46,349","55.9%"
"                Employed","44,965","54.2%"
"    Own children of the householder under 6 years","14,194","14,194"
"        All parents in family in labor force","10,624","74.8%"
"    Own children of the householder 6 to 17 years","30,186","30,186"
"        All parents in family in labor force","23,639","78.3%"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","93,846","93,846"
"        Car, truck, or van -- drove alone","63,775","68.0%"
"        Car, truck, or van -- carpooled","6,502","6.9%"
"        Public transportation (excluding taxicab)","154","0.2%"
"        Walked","916","1.0%"
"        Other means","770","0.8%"
"        Worked from home","21,729","23.2%"
"        Mean travel time to work (minutes)","27.4","(X)"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","94,561","94,561"
"        Management, business, science, and arts occupations","48,887","51.7%"
"        Service occupations","12,425","13.1%"
"        Sales and office occupations","19,818","21.0%"
"        Natural resources, construction, and maintenance occupations","6,494","6.9%"
"        Production, transportation, and material moving occupations","6,937","7.3%"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","94,561","94,561"
"        Agriculture, forestry, fishing and hunting, and mining","62","0.1%"
"        Construction","5,882","6.2%"
"        Manufacturing","4,397","4.6%"
"        Wholesale trade","2,237","2.4%"
"        Retail trade","10,559","11.2%"
"        Transportation and warehousing, and utilities","4,733","5.0%"
"        Information","1,420","1.5%"
"        Finance and insurance, and real estate and rental and leasing","12,224","12.9%"
"        Professional, scientific, and management, and administrative and waste management services","13,009","13.8%"
"        Educational services, and health care and social assistance","24,378","25.8%"
"        Arts, entertainment, and recreation, and accommodation and food services","6,421","6.8%"
"        Other services, except public administration","4,484","4.7%"
"        Public administration","4,755","5.0%"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","94,561","94,561"
"        Private wage and salary workers","76,192","80.6%"
"        Government workers","13,736","14.5%"
"        Self-employed in own not incorporated business workers","4,633","4.9%"
"        Unpaid family workers","0","0.0%"
"INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)","",""
"    Total households","74,637","74,637"
"        Less than $10,000","2,256","3.0%"
"        $10,000 to $14,999","1,047","1.4%"
"        $15,000 to $24,999","4,385","5.9%"
"        $25,000 to $34,999","2,894","3.9%"
"        $35,000 to $49,999","7,049","9.4%"
"        $50,000 to $74,999","10,906","14.6%"
"        $75,000 to $99,999","9,426","12.6%"
"        $100,000 to $149,999","16,004","21.4%"
"        $150,000 to $199,999","9,297","12.5%"
"        $200,000 or more","11,373","15.2%"
"        Median household income (dollars)","97,296","(X)"
"        Mean household income (dollars)","123,617","(X)"
"        With earnings","55,346","74.2%"
"            Mean earnings (dollars)","127,061","(X)"
"        With Social Security","26,886","36.0%"
"            Mean Social Security income (dollars)","27,056","(X)"
"        With retirement income","24,111","32.3%"
"            Mean retirement income (dollars)","31,385","(X)"
"        With Supplemental Security Income","2,897","3.9%"
"            Mean Supplemental Security Income (dollars)","11,769","(X)"
"        With cash public assistance income","714","1.0%"
"            Mean cash public assistance income (dollars)","1,952","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","5,677","7.6%"
"    Families","53,744","53,744"
"        Less than $10,000","860","1.6%"
"        $10,000 to $14,999","455","0.8%"
"        $15,000 to $24,999","2,313","4.3%"
"        $25,000 to $34,999","996","1.9%"
"        $35,000 to $49,999","4,161","7.7%"
"        $50,000 to $74,999","7,456","13.9%"
"        $75,000 to $99,999","6,720","12.5%"
"        $100,000 to $149,999","12,782","23.8%"
"        $150,000 to $199,999","7,913","14.7%"
"        $200,000 or more","10,088","18.8%"
"        Median family income (dollars)","111,730","(X)"
"        Mean family income (dollars)","140,694","(X)"
"    Per capita income (dollars)","46,712","(X)"
"    Nonfamily households","20,893","20,893"
"        Median nonfamily income (dollars)","52,624","(X)"
"        Mean nonfamily income (dollars)","71,459","(X)"
"    Median earnings for workers (dollars)","51,925","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","79,060","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","55,660","(X)"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","196,845","196,845"
"        With health insurance coverage","183,709","93.3%"
"            With private health insurance","145,808","74.1%"
"            With public coverage","63,902","32.5%"
"        No health insurance coverage","13,136","6.7%"
"    Civilian noninstitutionalized population under 19 years","48,016","48,016"
"        No health insurance coverage","4,376","9.1%"
"    Civilian noninstitutionalized population 19 to 64 years","108,542","108,542"
"        In labor force:","86,765","86,765"
"            Employed:","84,722","84,722"
"                With health insurance coverage","78,452","92.6%"
"                    With private health insurance","74,391","87.8%"
"                    With public coverage","6,607","7.8%"
"                No health insurance coverage","6,270","7.4%"
"            Unemployed:","2,043","2,043"
"                With health insurance coverage","1,932","94.6%"
"                    With private health insurance","1,666","81.5%"
"                    With public coverage","433","21.2%"
"                No health insurance coverage","111","5.4%"
"        Not in labor force:","21,777","21,777"
"            With health insurance coverage","19,684","90.4%"
"                With private health insurance","12,188","56.0%"
"                With public coverage","9,031","41.5%"
"            No health insurance coverage","2,093","9.6%"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","",""
"    All families","(X)","5.7%"
"        With related children of the householder under 18 years","(X)","7.5%"
"            With related children of the householder under 5 years only","(X)","8.6%"
"        Married couple families","(X)","4.6%"
"            With related children of the householder under 18 years","(X)","4.8%"
"                With related children of the householder under 5 years only","(X)","4.6%"
"        Families with female householder, no spouse present","(X)","11.0%"
"            With related children of the householder under 18 years","(X)","14.6%"
"                With related children of the householder under 5 years only","(X)","16.1%"
"    All people","(X)","7.9%"
"        Under 18 years","(X)","8.5%"
"            Related children of the householder under 18 years","(X)","8.4%"
"                Related children of the householder under 5 years","(X)","10.1%"
"                Related children of the householder 5 to 17 years","(X)","7.8%"
"        18 years and over","(X)","7.7%"
"            18 to 64 years","(X)","7.2%"
"            65 years and over","(X)","9.4%"
"        People in families","(X)","6.0%"
"        Unrelated individuals 15 years and over","(X)","17.9%"
