"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","122,423","122,423"
"    In labor force","79,230","64.7%"
"        Civilian labor force","79,166","64.7%"
"            Employed","74,114","60.5%"
"            Unemployed","5,052","4.1%"
"        Armed Forces","64","0.1%"
"    Not in labor force","43,193","35.3%"
"    Civilian labor force","79,166","79,166"
"    Percent Unemployed","(X)","6.4%"
"    Females 16 years and over","65,214","65,214"
"    In labor force","39,216","60.1%"
"        Civilian labor force","39,216","60.1%"
"            Employed","36,926","56.6%"
"    Own children under 6 years","11,409","11,409"
"    All parents in family in labor force","7,582","66.5%"
"    Own children 6 to 17 years","30,064","30,064"
"    All parents in family in labor force","22,339","74.3%"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","72,473","72,473"
"    Car, truck, or van -- drove alone","57,255","79.0%"
"    Car, truck, or van -- carpooled","8,427","11.6%"
"    Public transportation (excluding taxicab)","520","0.7%"
"    Walked","955","1.3%"
"    Other means","938","1.3%"
"    Worked at home","4,378","6.0%"
"    Mean travel time to work (minutes)","27.7","(X)"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","74,114","74,114"
"    Management, business, science, and arts occupations","29,720","40.1%"
"    Service occupations","12,138","16.4%"
"    Sales and office occupations","19,988","27.0%"
"    Natural resources, construction, and maintenance occupations","6,228","8.4%"
"    Production, transportation, and material moving occupations","6,040","8.1%"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","74,114","74,114"
"    Agriculture, forestry, fishing and hunting, and mining","220","0.3%"
"    Construction","4,598","6.2%"
"    Manufacturing","5,015","6.8%"
"    Wholesale trade","1,381","1.9%"
"    Retail trade","10,926","14.7%"
"    Transportation and warehousing, and utilities","3,330","4.5%"
"    Information","1,208","1.6%"
"    Finance and insurance, and real estate and rental and leasing","8,567","11.6%"
"    Professional, scientific, and management, and administrative and waste management services","8,401","11.3%"
"    Educational services, and health care and social assistance","17,605","23.8%"
"    Arts, entertainment, and recreation, and accommodation and food services","5,210","7.0%"
"    Other services, except public administration","4,296","5.8%"
"    Public administration","3,357","4.5%"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","74,114","74,114"
"    Private wage and salary workers","61,268","82.7%"
"    Government workers","10,381","14.0%"
"    Self-employed in own not incorporated business workers","2,317","3.1%"
