"Label (Grouping)","Peoria city, Arizona!!Estimate","Peoria city, Arizona!!Percent"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","143,650","143,650"
"        In labor force","86,034","59.9%"
"            Civilian labor force","85,778","59.7%"
"                Employed","82,809","57.6%"
"                Unemployed","2,969","2.1%"
"            Armed Forces","256","0.2%"
"        Not in labor force","57,616","40.1%"
"    Civilian labor force","85,778","85,778"
"        Unemployment Rate","(X)","3.5%"
"    Females 16 years and over","76,944","76,944"
"        In labor force","43,427","56.4%"
"            Civilian labor force","43,427","56.4%"
"                Employed","41,619","54.1%"
"    Own children of the householder under 6 years","11,428","11,428"
"        All parents in family in labor force","6,935","60.7%"
"    Own children of the householder 6 to 17 years","24,164","24,164"
"        All parents in family in labor force","17,588","72.8%"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","82,441","82,441"
"        Car, truck, or van -- drove alone","64,157","77.8%"
"        Car, truck, or van -- carpooled","8,598","10.4%"
"        Public transportation (excluding taxicab)","1,298","1.6%"
"        Walked","545","0.7%"
"        Other means","1,139","1.4%"
"        Worked from home","6,704","8.1%"
"        Mean travel time to work (minutes)","30.0","(X)"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","82,809","82,809"
"        Management, business, science, and arts occupations","34,857","42.1%"
"        Service occupations","12,111","14.6%"
"        Sales and office occupations","21,019","25.4%"
"        Natural resources, construction, and maintenance occupations","6,451","7.8%"
"        Production, transportation, and material moving occupations","8,371","10.1%"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","82,809","82,809"
"        Agriculture, forestry, fishing and hunting, and mining","205","0.2%"
"        Construction","5,576","6.7%"
"        Manufacturing","4,298","5.2%"
"        Wholesale trade","1,829","2.2%"
"        Retail trade","9,382","11.3%"
"        Transportation and warehousing, and utilities","5,436","6.6%"
"        Information","1,663","2.0%"
"        Finance and insurance, and real estate and rental and leasing","9,374","11.3%"
"        Professional, scientific, and management, and administrative and waste management services","11,918","14.4%"
"        Educational services, and health care and social assistance","17,948","21.7%"
"        Arts, entertainment, and recreation, and accommodation and food services","6,669","8.1%"
"        Other services, except public administration","3,308","4.0%"
"        Public administration","5,203","6.3%"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","82,809","82,809"
"        Private wage and salary workers","65,822","79.5%"
"        Government workers","12,527","15.1%"
"        Self-employed in own not incorporated business workers","4,273","5.2%"
"        Unpaid family workers","187","0.2%"
"INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)","",""
"    Total households","66,318","66,318"
"        Less than $10,000","4,152","6.3%"
"        $10,000 to $14,999","1,605","2.4%"
"        $15,000 to $24,999","3,647","5.5%"
"        $25,000 to $34,999","3,993","6.0%"
"        $35,000 to $49,999","7,691","11.6%"
"        $50,000 to $74,999","11,480","17.3%"
"        $75,000 to $99,999","8,944","13.5%"
"        $100,000 to $149,999","14,048","21.2%"
"        $150,000 to $199,999","6,026","9.1%"
"        $200,000 or more","4,732","7.1%"
